unix,date,symbol,open,high,low,close,Volume JPY,Volume BTC
1648926000000,2022-04-02 19:00:00,BTC/JPY,5617899.9999998,5664700.00000024,5616133.18548979,5653799.99999999,17358511.20863397,3.0702379300000002
1648922400000,2022-04-02 18:00:00,BTC/JPY,5682999.99999993,5684599.99999964,5590899.99999993,5619100.00000051,63970574.10459281,11.38448757
1648918800000,2022-04-02 17:00:00,BTC/JPY,5673600.00000055,5693392.17696003,5669300.00000048,5681300.00000016,14980822.715264421,2.63686528
1648915200000,2022-04-02 16:00:00,BTC/JPY,5669599.99999943,5686599.99999958,5656800.00000052,5673600.00000055,8613415.441728836,1.51815698
1648911600000,2022-04-02 15:00:00,BTC/JPY,5708400.00000009,5708400.00000009,5654300.00000028,5667298.17744003,22105176.394383475,3.9004788
1648908000000,2022-04-02 14:00:00,BTC/JPY,5728400.00000051,5735700.00000004,5707499.99999956,5714299.99999987,30791461.492746297,5.38849229
1648904400000,2022-04-02 13:00:00,BTC/JPY,5722900.0,5749499.99999964,5715000.00000028,5728400.00000051,21816797.458433945,3.80853248
1648900800000,2022-04-02 12:00:00,BTC/JPY,5703399.99999961,5741299.99999974,5667910.71264003,5720199.99999965,43354117.860843346,7.57912623
1648897200000,2022-04-02 11:00:00,BTC/JPY,5723700.00000047,5725400.00000024,5703499.99999967,5703899.99999991,7440724.202873882,1.30449766
1648893600000,2022-04-02 10:00:00,BTC/JPY,5719300.00000034,5720699.99999994,5703399.99999961,5720699.99999994,8517125.754059913,1.4888258
1648890000000,2022-04-02 09:00:00,BTC/JPY,5703799.99999953,5728999.99999963,5700399.99999997,5719300.00000034,29833445.382239774,5.21627566
1648886400000,2022-04-02 08:00:00,BTC/JPY,5704400.0000002,5705999.9999994,5699099.99999955,5701000.00000047,12398459.48979102,2.1747867899999997
1648882800000,2022-04-02 07:00:00,BTC/JPY,5710900.08640002,5710900.08640002,5690899.99999965,5706800.00000038,10669136.98294471,1.86954808
1648879200000,2022-04-02 06:00:00,BTC/JPY,5704700.00000038,5715499.99999979,5694231.76902947,5715499.99999979,18179193.800809335,3.18068302
1648875600000,2022-04-02 05:00:00,BTC/JPY,5703500.00000019,5709699.99999963,5688100.00000046,5703899.99999991,2859030.2510699546,0.5012413
